icon,text,relevance,language,author,reviewer,valid,human_authored,human_reviewed,prompt_id,gpt_run_id,execution_id,gpt_model,when_authored,when_reviewed,count
h2o,connections,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,interconnected,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,linkage,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,mapping,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,network,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,nodes,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,organization,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,relationship,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,system,high,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,abstract,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,chart,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,circle,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,communication,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,diagram,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,flowchart,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,geometry,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,hierarchy,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,interface,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,pattern,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,structure,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,technology,medium,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,design,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,simplification,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
h2o,symmetry,low,en,acbart@vt.edu,,,False,False,starter-v1-128,batch_req_wU39BvnNU3wYQZO3YqPiu7Zp,0,gpt-4o-2024-08-06,2024-08-18T21:02:12.151419,,1
